track_id,forecast_time,valid_time_est,lead_time,center_lat,center_lon,cone_radius_km,estimated_population_exposed,risk_score,region_proxy
MONTHA,2025-10-29 00:00:00+00:00,2025-11-02 00:00:00+00:00,96,24.982352941176465,89.25294117647059,366.3377610614041,307843.74704996013,58.82513955234623,R_11_26
KALMAEGI,2025-11-02 00:00:00+00:00,2025-11-02 06:00:00+00:00,6,11.33529411764706,133.46274509803922,134.85245430041022,382213.76663277944,69.37763790249693,R_10_31
KALMAEGI,2025-11-01 18:00:00+00:00,2025-11-02 06:00:00+00:00,12,11.472549019607843,133.3470588235294,139.7773853886137,375933.7047253775,69.31266337871901,R_10_31
MELISSA,2025-10-30 06:00:00+00:00,2025-11-02 06:00:00+00:00,72,54.66470588235293,-39.64901960784314,329.12229375385505,290751.5204587815,51.813211684878624,R_14_14
MELISSA,2025-10-29 06:00:00+00:00,2025-11-02 06:00:00+00:00,96,53.78958333333333,-41.735416666666666,531.1285777959977,497465.17498181656,53.49150888525958,R_14_13
MONTHA,2025-10-29 06:00:00+00:00,2025-11-02 06:00:00+00:00,96,24.13333333333333,91.06666666666666,126.61788197158327,7980.576660252383,48.24496090921243,R_11_27
KALMAEGI,2025-11-02 00:00:00+00:00,2025-11-02 12:00:00+00:00,12,11.270588235294117,131.99607843137255,151.56971285763376,228620.37480527733,67.8305822509228,R_10_31
KALMAEGI,2025-11-01 12:00:00+00:00,2025-11-02 12:00:00+00:00,24,11.56078431372549,132.61764705882354,178.42691643034308,577393.7311696733,70.39360206198391,R_10_31
MELISSA,2025-10-31 12:00:00+00:00,2025-11-02 12:00:00+00:00,48,55.111764705882365,-35.652941176470584,246.52701261149792,192880.19031820257,50.53071776289033,R_14_14
MELISSA,2025-10-30 12:00:00+00:00,2025-11-02 12:00:00+00:00,72,54.88039215686274,-34.92352941176471,315.65388954200864,252481.2601545082,51.37217583879874,R_14_14
MELISSA,2025-10-29 12:00:00+00:00,2025-11-02 12:00:00+00:00,96,54.178260869565214,-37.31521739130435,564.1996081227617,549649.8917857197,53.80324566708359,R_14_14
MONTHA,2025-10-29 12:00:00+00:00,2025-11-02 12:00:00+00:00,96,24.871428571428577,89.68571428571428,177.0437717200162,120413.61671337132,55.960988167242675,R_11_26
KALMAEGI,2025-11-02 12:00:00+00:00,2025-11-02 18:00:00+00:00,6,11.233333333333334,130.18235294117648,133.54815454208745,228523.52912966124,68.1012672327309,R_10_31
KALMAEGI,2025-11-01 18:00:00+00:00,2025-11-02 18:00:00+00:00,24,11.07254901960784,130.58235294117648,173.16045349100813,258707.74354625636,68.52585768987,R_10_31
MELISSA,2025-10-30 18:00:00+00:00,2025-11-02 18:00:00+00:00,72,55.86274509803921,-30.45490196078432,422.58027557558864,383940.6583931469,52.68201840237279,R_14_14
MELISSA,2025-10-29 18:00:00+00:00,2025-11-02 18:00:00+00:00,96,55.73541666666667,-30.775,490.29445634524893,453427.0130352981,53.20184937350396,R_14_14
MONTHA,2025-10-29 18:00:00+00:00,2025-11-02 18:00:00+00:00,96,23.316666666666663,90.46666666666668,308.4436532478464,70547.29827445225,54.68886513782187,R_11_27
KALMAEGI,2025-11-02 18:00:00+00:00,2025-11-03 00:00:00+00:00,6,10.809803921568628,128.52941176470588,156.04833943416128,480309.4976903608,70.70840626723164,R_10_30
KALMAEGI,2025-11-02 12:00:00+00:00,2025-11-03 00:00:00+00:00,12,10.849019607843136,128.78235294117647,150.29775172545277,480309.4976903608,70.70840626723164,R_10_30
KALMAEGI,2025-11-02 00:00:00+00:00,2025-11-03 00:00:00+00:00,24,10.796078431372552,128.99411764705883,189.5997753202184,560122.9904230345,71.17430232373137,R_10_30
